Value,Synonyms
Hamster,"hamster, hamsters"
Hare,"hare, hares"
HarpSeal,"harp seal, harp seals"
Hedgehog,"hedgehog, hedgehogs"
Hippopotamus,"hippo,   hippopotamus,  hippopotamuses, hippos"
Horse,"horse, horses"
HowlerMonkey,"howler monkey, howler monkeys"
HumpbackWhale,"humpback whale, humpback whales"
Hyena,"hyena, hyenas"
Hyracotherium,"hyracotherium, hyracotheriums"
Hyrax,"hyrax, hyraxes"
Ibex,"ibex, ibexes"
Impala,"impala, impalas"
Jaguar,"jaguar, jaguars"
Javelina,"javelina, javelinas"
Kangaroo,"kangaroo, kangaroos"
KangarooRat,"kangaroo rat, kangaroo rats"
Karakul,"karakul, karakuls"
KillerWhale,"killer whale, killer whales"
Kinkajou,"kinkajou, kinkajous"
Koala,"koala, koalas"
Kudu,"kudu, kudus"
Lagomorph,"lagomorph, lagomorphs"
Lemming,"lemming, lemmings"
Lemur,"lemur, lemurs"
Leopard,"leopard, leopards"
Lion,"lion, lions"
Llama,"llama, llamas"
Longhorn,"longhorn, longhorns"
Loris,"loris, lorises"
Lynx,"lynx, lynxes"
Macaque,"macaque, macaques"
Macrauchenia,"macrauchenia, macrauchenias"
Mammoth,"mammoth, mammoths"
Manatee,"manatee, manatees"
Mandrill,"mandrill, mandrills"
Marmoset,"marmoset, marmosets"
Marmot,"marmot, marmots"
Marsupial,"marsupial, marsupials"
Mastodon,"mastodon, mastodons"
Meerkat,"meerkat, meerkats"
Mink,"mink, minks"
Mole,"mole, moles"
Mongoose,"mongoose, mongooses"
Monkey,"monkey, monkeys"
Monotreme,"monotreme, monotremes"
Moose,"moose, mooses"
Morganucodon,"morganucodon, morganucodons"
MountainLion,"mountain lion, mountain lions"
Mouse,"mice, mouse"
MuskOx,"musk ox, musk oxes"
MuskOxen,"musk oxen, musk oxens"
Muskrat,"muskrat, muskrats"
Mustelids,"mustelids, mustelidses"
Nabarlek,"nabarlek, nabarleks"
NakedMoleRat,"naked mole-rat, naked mole-rats"
Narwhal,"narwhal, narwhals"
NorthernElephantSeal,"northern elephant seal, northern elephant seals"
NorthernFurSeal,"northern fur seal, northern fur seals"
NorthernRightWhale,"northern right whale, northern right whales"
Numbat,"numbat, numbats"
Nutria,"nutria, nutrias"
Ocelot,"ocelot, ocelots"
Okapi,"okapi, okapis"
Onager,"onager, onagers"
Opossum,"opossum, opossums"
Orangutan,"orangutan, orangutans"
Orca,"orca, orcas"
Oryx,"oryx, oryxes"
Otter,"otter, otters"
Ox,"ox, oxes"
Oxen,"oxen, oxens"
Panda,"panda, pandas"
Pangolin,"pangolin, pangolins"
Panther,"panther, panthers"
Perissodactyls,"perissodactyls, perissodactylses"
Pig,"pig, pigs"
Pika,"pika, pikas"
Pinniped,"pinniped, pinnipeds"
Platybelodon,"platybelodon, platybelodons"
Platypus,"platypus, platypuses"
PolarBear,"polar bear, polar bears"
Porcupine,"porcupine, porcupines"
Porpoise,"porpoise, porpoises"
Possum,"possum, possums"
Primate,"primate, primates"
Proboscidea,"proboscidea, proboscideans"
Pronghornpuma,"pronghornpuma, pronghornpumas"
Quagga,"quagga, quaggas"
Quokka,"quokka, quokkas"
Quoll,"quoll, quolls"
Rabbit,"rabbit, rabbits"
Raccoon,"raccoon, raccoons"
Rat,"rat, rats"
RedKangaroo,"red kangaroo, red kangaroos"
RedPanda,"red panda, red pandas"
RedWolf,"red wolf, red wolves"
Reindeer,"reindeer, reindeers"
Rhino,"rhino, rhinos"
Rhinoceros,"rhinoceros, rhinoceroses"
RightWhale,"right whale, right whales"
RingTailedLemur,"ring-tailed lemur, ring-tailed lemurs"
RingtailPossum,"ringtail possum, ringtail possums"
RiverOtter,"river otter, river otters"
Rodent,"rodent, rodents"
SeaOtter,"sea otter, sea otters"
Seal,"seal, seals"
Serval,"serval, servals"
Sheep,sheep
Shrew,"shrew, shrews"
Siamang,"siamang, siamangs"
Skunk,"skunk, skunks"
Sloth,"sloth, sloths"
Smilodon,"smilodon, smilodons"
SnowLeopard,"snow leopard, snow leopards"
SpectacledPorpoise,"spectacled porpoise, spectacled porpoises"
SpinyAnteater,"spiny anteater, spiny anteaters"
Squirrel,"squirrel, squirrels"
SugarGlider,"sugar glider, sugar gliders"
Tamarin,"tamarin, tamarins"
Tapir,"tapir, tapirs"
Tarsier,"tarsier, tarsiers"
TasmanianDevil,"tasmanian devil, tasmanian devils"
TasmanianTiger,"tasmanian tiger, tasmanian tigers"
ThreeToedSloth,"three-toed sloth, three-toed sloths"
Tiger,"tiger, tigers"
TreeShrew,"tree shrew, tree shrews"
VampireBat,"vampire bat, vampire bats"
VirginiaOpossum,"virginia opossum, virginia opossums"
Wallabies,"wallabies, wallabieses"
Wallaby,"wallaby, wallabys"
Walrus,"walrus, walruses"
Warthog,"warthog, warthogs"
Weasel,"weasel, weasels"
WeddellSeal,"weddell seal, weddell seals"
Whale,"whale, whales"
Wildebeest,"wildebeest, wildebeests"
Wolf,"wolf, wolves"
Wolverine,"wolverine, wolverines"
Wombat,"wombat, wombats"
Woodchuck,"woodchuck, woodchucks"
WoodlandCaribou,"woodland caribou, woodland caribous"
Yak,"yak, yaks"
Zebra,"zebra, zebras"
Zorilla,"zorilla, zorillas"
